Settle time,Distance
0,96.13
0,94.68
0,0.83
0.001,102.07
0.001,82.25
0.001,95.92
0.002,65.87
0.002,95.32
0.002,68.1
0.003,79.32
0.003,64.52
0.003,78.96
0.004,96.06
0.004,96.09
0.004,96.11
0.005,96.04
0.005,96.04
0.005,96.04
0.006,96.01
0.006,96.04
0.006,96.04
0.007,96.04
0.007,96.06
0.007,96.02
0.008,96.11
0.008,96.02
0.008,96.04
0.009,96.13
0.009,96.13
0.009,96.01
0.01,96.06
0.01,96.02
0.01,96.06
0.011,96.04
0.011,96.02
0.011,96.02
0.012,96.06
0.012,96.04
0.012,96.06
0.013,96.76
0.013,96.09
0.013,96.09
0.014,96.04
0.014,96.04
0.014,96.06
0.015,96.06
0.015,96.04
0.015,96.08
0.016,96.04
0.016,96.04
0.016,96.07
0.017,96.06
0.017,96.14
0.017,96.11
0.018,96.06
0.018,96.04
0.018,96.01
0.019,96.06
0.019,96.11
0.019,96.09
0.02,96.02
0.02,96.06
0.02,96.02
0.021,96.06
0.021,96.14
0.021,96.07
0.022,95.99
0.022,96.09
0.022,96.0
0.023,96.0
0.023,96.01
0.023,96.08
0.024,96.02
0.024,96.15
0.024,96.06
0.025,96.09
0.025,96.08
0.025,96.04
0.026,96.09
0.026,96.13
0.026,96.0
0.027,96.06
0.027,96.08
0.027,96.06
0.028,96.04
0.028,96.14
0.028,96.01
0.029,95.95
0.029,96.09
0.029,96.09
0.03,96.01
0.03,96.01
0.03,96.06
0.031,96.08
0.031,96.13
0.031,96.13
0.032,96.09
0.032,96.07
0.032,96.11
0.033,96.04
0.033,96.04
0.033,96.04
0.034,96.09
0.034,96.35
0.034,96.01
0.035,95.95
0.035,96.09
0.035,96.02
0.036,96.02
0.036,96.09
0.036,90.81
0.037,96.08
0.037,96.09
0.037,96.09
0.038,95.99
0.038,96.09
0.038,96.16
0.039,96.11
0.039,96.06
0.039,96.06
0.04,65.43
0.04,96.04
0.04,96.02
0.041,96.06
0.041,96.06
0.041,96.06
0.042,96.09
0.042,95.99
0.042,96.06
0.043,96.0
0.043,96.09
0.043,95.99
0.044,96.04
0.044,96.02
0.044,96.0
0.045,96.17
0.045,96.04
0.045,96.07
0.046,96.06
0.046,96.09
0.046,96.14
0.047,96.02
0.047,96.04
0.047,96.02
0.048,96.02
0.048,96.02
0.048,96.02
0.049,96.0
0.049,95.95
0.049,96.11
0.05,96.09
0.05,96.06
0.05,96.04
0.051,96.02
0.051,96.06
0.051,96.04
0.052,95.99
0.052,96.01
0.052,96.08
0.053,96.0
0.053,96.11
0.053,95.49
0.054,96.04
0.054,96.02
0.054,96.15
0.055,96.0
0.055,96.01
0.055,96.07
0.056,96.04
0.056,96.09
0.056,96.07
0.057,96.01
0.057,96.06
0.057,96.07
0.058,96.02
0.058,96.08
0.058,96.08
0.059,95.79
0.059,96.09
0.059,96.04
0.06,96.08
0.06,96.18
0.06,96.06
0.061,96.11
0.061,95.99
0.061,96.08
0.062,96.14
0.062,95.99
0.062,96.01
0.063,96.06
0.063,96.0
0.063,96.59
0.064,96.08
0.064,96.04
0.064,96.07
0.065,96.11
0.065,96.04
0.065,96.02
0.066,96.09
0.066,96.04
0.066,96.04
0.067,96.02
0.067,96.11
0.067,96.09
