Settle time,Distance
0,96.06
0.001,75.33
0.002,79.82
0.003,96.02
0.004,95.97
0.005,96.09
0.006,96.07
0.007,96.02
0.008,96.08
0.009,96.06
0.01,96.11
0.011,96.04
0.012,96.04
0.013,96.04
0.014,96.09
0.015,96.06
0.016,96.08
0.017,96.02
0.018,96.06
0.019,96.04
0.02,96.06
0.021,96.02
0.022,96.06
0.023,96.08
0.024,96.06
0.025,96.04
0.026,96.02
0.027,96.06
0.028,96.08
0.029,96.02
0.03,96.09
0.031,96.07
0.032,96.02
0.033,96.04
0.034,96.0
0.035,96.02
0.036,96.09
0.037,95.97
0.038,96.11
0.039,96.0
0.04,96.13
0.041,95.99
0.042,74.23
0.043,96.04
0.044,96.02
0.045,96.11
0.046,96.11
0.047,96.04
0.048,96.11
0.049,96.08
0.05,96.09
0.051,96.01
0.052,95.65
0.053,95.99
0.054,96.38
0.055,95.97
0.056,96.09
0.057,96.09
0.058,96.06
0.059,96.02
0.06,96.15
0.061,96.09
0.062,96.02
0.063,96.11
0.064,96.09
0.065,96.15
0.066,96.07
0.067,96.08
0.068,96.08
0.069,96.16
0.07,96.04
0.071,96.09
0.072,96.06
0.073,96.02
0.074,96.15
0.075,96.11
0.076,95.95
0.077,96.02
0.078,96.11
0.079,96.13
0.08,96.09
0.081,96.01
0.082,96.08
0.083,96.06
0.084,96.06
0.085,96.09
0.086,95.99
0.087,96.06
0.088,96.01
0.089,96.07
0.09,96.06
0.091,96.06
0.092,96.0
0.093,96.02
0.094,96.06
0.095,96.04
0.096,95.99
0.097,96.02
0.098,96.09
0.099,96.11
0.1,96.06
0.101,96.04
0.102,95.99
0.103,95.99
0.104,96.06
0.105,96.01
0.106,96.04
0.107,96.01
0.108,96.02
0.109,96.06
0.11,96.08
0.111,96.06
0.112,95.99
0.113,96.08
0.114,96.06
0.115,95.97
0.116,96.01
0.117,96.09
0.118,96.08
0.119,96.02
0.12,96.01
0.121,96.07
0.122,96.08
0.123,96.02
0.124,96.16
0.125,96.07
0.126,95.97
0.127,96.06
0.128,96.04
0.129,96.11
0.13,96.07
0.131,96.15
0.132,95.95
0.133,96.02
0.134,96.02
0.135,97.43
0.136,96.09
0.137,96.15
0.138,96.01
0.139,96.02
0.14,96.08
0.141,96.09
0.142,95.97
0.143,96.11
0.144,96.07
0.145,96.09
0.146,96.08
0.147,96.08
0.148,95.99
0.149,95.99
0.15,96.04
0.151,96.09
0.152,96.06
0.153,96.06
0.154,96.01
0.155,95.99
0.156,96.06
0.157,96.07
0.158,96.07
0.159,96.06
0.16,96.04
