Settle time (s),Measured Distance (cm), Error to real distance = 70 cm
0.005,66.37,3.63
0.005,66.32,3.68
0.005,63.13,6.87
0.005,66.32,3.68
0.005,66.37,3.63
0.005,65.68,4.32
0.005,65.82,4.18
0.005,66.37,3.63
0.005,66.4,3.6
0.005,65.82,4.18
0.005,65.79,4.21
0.005,66.37,3.63
0.005,66.37,3.63
0.005,65.86,4.14
0.005,65.81,4.19
0.005,66.39,3.61
0.005,66.39,3.61
0.005,65.82,4.18
0.005,65.79,4.21
0.005,65.82,4.18
0.005,65.84,4.16
0.005,65.79,4.21
0.005,65.86,4.14
0.005,66.35,3.65
0.005,66.32,3.68
0.005,65.79,4.21
0.005,65.84,4.16
0.005,66.35,3.65
0.005,65.7,4.3
0.005,66.37,3.63
0.005,65.84,4.16
0.005,66.37,3.63
0.005,65.67,4.33
0.005,65.84,4.16
0.005,66.35,3.65
0.005,65.84,4.16
0.005,66.39,3.61
0.005,65.81,4.19
0.005,65.84,4.16
0.005,66.32,3.68
0.005,66.37,3.63
0.005,65.82,4.18
0.005,65.79,4.21
0.005,65.84,4.16
0.005,66.39,3.61
0.005,66.37,3.63
0.005,65.84,4.16
0.005,65.82,4.18
0.005,66.35,3.65
0.005,66.35,3.65
0.005,65.82,4.18
0.005,65.84,4.16
0.005,66.35,3.65
0.005,65.81,4.19
0.005,65.82,4.18
0.005,66.39,3.61
0.005,66.35,3.65
0.005,66.35,3.65
0.005,65.82,4.18
0.005,65.81,4.19
0.005,66.37,3.63
0.005,66.37,3.63
0.005,65.86,4.14
0.005,65.82,4.18
0.005,65.82,4.18
0.005,66.33,3.67
0.005,65.81,4.19
0.005,65.79,4.21
0.005,65.77,4.23
0.005,65.86,4.14
0.005,65.86,4.14
0.005,65.82,4.18
0.005,66.35,3.65
0.005,66.35,3.65
0.005,65.84,4.16
0.005,65.81,4.19
0.005,65.82,4.18
0.005,66.33,3.67
0.005,65.79,4.21
0.005,65.77,4.23
0.005,66.39,3.61
0.005,65.84,4.16
0.005,65.82,4.18
0.005,66.34,3.66
0.005,66.37,3.63
0.005,66.37,3.63
0.005,65.77,4.23
0.005,66.34,3.66
0.005,66.42,3.58
0.005,65.79,4.21
0.005,66.46,3.54
0.005,66.4,3.6
0.005,66.42,3.58
0.005,65.75,4.25
0.005,66.37,3.63
0.005,66.37,3.63
0.005,65.77,4.23
0.005,66.32,3.68
0.005,66.37,3.63
0.005,66.39,3.61
