Settle time (s),Measured Distance (cm), Error to real distance = 100 cm
0.005,206.41,-106.41
0.005,116.75,-16.75
0.005,206.44,-106.44
0.005,119.78,-19.78
0.005,126.87,-26.87
0.005,205.73,-105.73
0.005,193.3,-93.3
0.005,131.8,-31.8
0.005,194.04,-94.04
0.005,204.27,-104.27
0.005,203.54,-103.54
0.005,186.37,-86.37
0.005,140.78,-40.78
0.005,185.12,-85.12
0.005,173.06,-73.06
0.005,153.3,-53.3
0.005,179.23,-79.23
0.005,145.74,-45.74
0.005,180.52,-80.52
0.005,192.0,-92.0
0.005,204.34,-104.34
0.005,204.33,-104.33
0.005,205.73,-105.73
0.005,120.65,-20.65
0.005,127.77,-27.77
0.005,173.8,-73.8
0.005,205.75,-105.75
0.005,203.6,-103.6
0.005,122.36,-22.36
0.005,204.26,-104.26
0.005,186.32,-86.32
0.005,184.45,-84.45
0.005,139.46,-39.46
0.005,145.4,-45.4
0.005,204.07,-104.07
0.005,123.39,-23.39
0.005,131.76,-31.76
0.005,116.62,-16.62
0.005,129.6,-29.6
0.005,195.41,-95.41
0.005,129.93,-29.93
0.005,194.17,-94.17
0.005,188.32,-88.32
0.005,343.55,-243.55
0.005,206.45,-106.45
0.005,212.87,-112.87
0.005,175.72,-75.72
0.005,112.37,-12.37
0.005,176.42,-76.42
0.005,204.3,-104.3
0.005,204.29,-104.29
0.005,207.21,-107.21
0.005,188.38,-88.38
0.005,137.41,-37.41
0.005,203.55,-103.55
0.005,187.72,-87.72
0.005,203.66,-103.66
0.005,130.08,-30.08
0.005,115.11,-15.11
0.005,171.17,-71.17
0.005,203.61,-103.61
0.005,203.55,-103.55
0.005,187.74,-87.74
0.005,97.65,2.35
0.005,101.71,-1.71
0.005,209.25,-109.25
0.005,103.28,-3.28
0.005,204.31,-104.31
0.005,122.56,-22.56
0.005,204.34,-104.34
0.005,186.35,-86.35
0.005,140.75,-40.75
0.005,185.79,-85.79
0.005,212.92,-112.92
0.005,203.52,-103.52
0.005,187.76,-87.76
0.005,140.2,-40.2
0.005,205.75,-105.75
0.005,186.39,-86.39
0.005,187.05,-87.05
0.005,107.94,-7.94
0.005,179.83,-79.83
0.005,204.31,-104.31
0.005,120.62,-20.62
0.005,124.96,-24.96
0.005,200.17,-100.17
0.005,124.99,-24.99
0.005,200.28,-100.28
0.005,205.79,-105.79
0.005,207.22,-107.22
0.005,204.31,-104.31
0.005,204.31,-104.31
0.005,187.04,-87.04
0.005,206.44,-106.44
0.005,120.03,-20.03
0.005,204.29,-104.29
0.005,179.03,-79.03
0.005,204.32,-104.32
0.005,203.57,-103.57
0.005,124.31,-24.31
