Settle time (s),Measured Distance (cm), Error to real distance = 100 cm
0.005,175.91,-75.91
0.005,47.79,52.21
0.005,46.06,53.94
0.005,39.32,60.68
0.005,45.43,54.57
0.005,41.64,58.36
0.005,42.82,57.18
0.005,42.7,57.3
0.005,42.21,57.79
0.005,43.37,56.63
0.005,67.84,32.16
0.005,155.23,-55.23
0.005,68.67,31.33
0.005,154.94,-54.94
0.005,69.29,30.71
0.005,153.28,-53.28
0.005,70.26,29.74
0.005,152.45,-52.45
0.005,72.42,27.58
0.005,151.09,-51.09
0.005,73.15,26.85
0.005,133.82,-33.82
0.005,88.92,11.08
0.005,134.68,-34.68
0.005,66.08,33.92
0.005,156.29,-56.29
0.005,66.96,33.04
0.005,99.59,0.41
0.005,122.59,-22.59
0.005,102.49,-2.49
0.005,119.96,-19.96
0.005,102.93,-2.93
0.005,119.35,-19.35
0.005,103.5,-3.5
0.005,120.18,-20.18
0.005,101.96,-1.96
0.005,120.62,-20.62
0.005,101.22,-1.22
0.005,121.39,-21.39
0.005,101.34,-1.34
0.005,121.51,-21.51
0.005,100.66,-0.66
0.005,121.13,-21.13
0.005,108.92,-8.92
0.005,114.53,-14.53
0.005,108.94,-8.94
0.005,114.39,-14.39
0.005,108.35,-8.35
0.005,114.2,-14.2
0.005,108.1,-8.1
0.005,114.84,-14.84
0.005,108.44,-8.44
0.005,114.91,-14.91
0.005,107.77,-7.77
0.005,115.78,-15.78
0.005,107.6,-7.6
0.005,115.69,-15.69
0.005,106.29,-6.29
0.005,116.96,-16.96
0.005,105.03,-5.03
0.005,117.38,-17.38
0.005,105.16,-5.16
0.005,118.23,-18.23
0.005,105.06,-5.06
0.005,117.78,-17.78
0.005,105.4,-5.4
0.005,117.22,-17.22
0.005,106.4,-6.4
0.005,115.76,-15.76
0.005,106.95,-6.95
0.005,116.41,-16.41
0.005,107.19,-7.19
0.005,75.42,24.58
0.005,147.52,-47.52
0.005,75.66,24.34
0.005,147.58,-47.58
0.005,75.8,24.2
0.005,136.1,-36.1
0.005,87.34,12.66
0.005,134.7,-34.7
0.005,88.63,11.37
0.005,134.15,-34.15
0.005,88.44,11.56
0.005,135.16,-35.16
0.005,88.29,11.71
0.005,135.04,-35.04
0.005,85.75,14.25
0.005,136.09,-36.09
0.005,86.97,13.03
0.005,121.33,-21.33
0.005,101.36,-1.36
0.005,120.67,-20.67
0.005,102.1,-2.1
0.005,121.34,-21.34
0.005,101.32,-1.32
0.005,121.56,-21.56
0.005,101.31,-1.31
0.005,120.94,-20.94
0.005,101.89,-1.89
0.005,120.05,-20.05
