Settle time (s),Measured Distance (cm), Error to real distance = 100 cm
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.99,98.01
0.005,1.94,98.06
0.005,1.94,98.06
0.005,1.89,98.11
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.91,98.09
0.005,1.92,98.08
0.005,1.94,98.06
0.005,1.97,98.03
0.005,1.89,98.11
0.005,1.92,98.08
0.005,1.94,98.06
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.95,98.05
0.005,1.94,98.06
0.005,1.87,98.13
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.87,98.13
0.005,1.92,98.08
0.005,1.89,98.11
0.005,1.96,98.04
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.99,98.01
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.88,98.12
0.005,1.92,98.08
0.005,1.94,98.06
0.005,1.92,98.08
0.005,1.94,98.06
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.87,98.13
0.005,1.92,98.08
0.005,1.93,98.07
0.005,1.88,98.12
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.94,98.06
0.005,1.92,98.08
0.005,1.97,98.03
0.005,1.92,98.08
0.005,1.87,98.13
0.005,1.94,98.06
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.87,98.13
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.9,98.1
0.005,1.94,98.06
0.005,1.9,98.1
0.005,1.92,98.08
0.005,1.92,98.08
0.005,2.28,97.72
0.005,1.94,98.06
0.005,1.94,98.06
0.005,1.9,98.1
0.005,1.87,98.13
0.005,1.88,98.12
0.005,1.9,98.1
0.005,1.95,98.05
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.87,98.13
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.87,98.13
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.94,98.06
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.91,98.09
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.91,98.09
0.005,1.92,98.08
0.005,1.92,98.08
0.005,1.95,98.05
0.005,1.92,98.08
0.005,1.94,98.06
0.005,1.95,98.05
