Settle time (s),Measured Distance (cm), Error to real distance = 0 cm
0,207.67,-207.67
0,667.36,-667.36
0,1830.26,-1830.26
0.001,6869.04,-6869.04
0.001,793.05,-793.05
0.001,808.69,-808.69
0.002,759.21,-759.21
0.002,767.65,-767.65
0.002,1283.06,-1283.06
0.003,734.57,-734.57
0.003,754.69,-754.69
0.003,738.91,-738.91
0.004,748.44,-748.44
0.004,765.83,-765.83
0.004,1508.89,-1508.89
0.005,873.33,-873.33
0.005,3662.33,-3662.33
0.005,5031.95,-5031.95
0.006,3531.9,-3531.9
0.006,1666.0,-1666.0
0.006,6868.69,-6868.69
0.007,6868.56,-6868.56
0.007,681.44,-681.44
0.007,672.45,-672.45
0.008,666.62,-666.62
0.008,678.85,-678.85
0.008,1687.51,-1687.51
0.009,650.38,-650.38
0.009,693.89,-693.89
0.009,645.3,-645.3
0.01,651.98,-651.98
0.01,6868.47,-6868.47
0.01,626.29,-626.29
0.011,613.92,-613.92
0.011,619.56,-619.56
0.011,728.53,-728.53
0.012,593.68,-593.68
0.012,873.38,-873.38
0.012,6868.4,-6868.4
0.013,860.53,-860.53
0.013,1064.26,-1064.26
0.013,1056.82,-1056.82
0.014,597.85,-597.85
0.014,5771.01,-5771.01
0.014,917.34,-917.34
0.015,555.45,-555.45
0.015,538.37,-538.37
0.015,524.17,-524.17
0.016,635.12,-635.12
0.016,511.45,-511.45
0.016,507.26,-507.26
0.017,527.02,-527.02
0.017,1033.62,-1033.62
0.017,6813.34,-6813.34
0.018,520.09,-520.09
0.018,470.87,-470.87
0.018,476.8,-476.8
0.019,470.6,-470.6
0.019,469.38,-469.38
0.019,6868.03,-6868.03
0.02,451.32,-451.32
0.02,451.71,-451.71
0.02,485.81,-485.81
0.021,441.82,-441.82
0.021,438.2,-438.2
0.021,427.12,-427.12
0.022,439.04,-439.04
0.022,427.17,-427.17
0.022,415.77,-415.77
0.023,401.53,-401.53
0.023,402.01,-402.01
0.023,411.0,-411.0
0.024,547.93,-547.93
0.024,415.61,-415.61
0.024,501.24,-501.24
0.025,540.19,-540.19
0.025,6867.96,-6867.96
0.025,532.03,-532.03
0.026,352.26,-352.26
0.026,346.98,-346.98
0.026,370.96,-370.96
0.027,318.51,-318.51
0.027,320.69,-320.69
0.027,6867.68,-6867.68
0.028,322.18,-322.18
0.028,360.42,-360.42
0.028,323.43,-323.43
0.029,334.72,-334.72
0.029,305.27,-305.27
0.029,301.4,-301.4
0.03,306.81,-306.81
0.03,326.0,-326.0
0.03,293.27,-293.27
0.031,900.61,-900.61
0.031,657.29,-657.29
0.031,761.36,-761.36
0.032,755.05,-755.05
0.032,817.11,-817.11
0.032,780.48,-780.48
0.033,777.0,-777.0
0.033,761.67,-761.67
0.033,6868.45,-6868.45
0.034,6085.69,-6085.69
0.034,217.46,-217.46
0.034,215.76,-215.76
0.035,6868.08,-6868.08
0.035,208.07,-208.07
0.035,214.81,-214.81
0.036,178.46,-178.46
0.036,199.11,-199.11
0.036,196.02,-196.02
0.037,176.54,-176.54
0.037,150.92,-150.92
0.037,194.57,-194.57
0.038,149.88,-149.88
0.038,228.22,-228.22
0.038,160.78,-160.78
0.039,132.07,-132.07
0.039,136.74,-136.74
0.039,367.95,-367.95
0.04,144.92,-144.92
0.04,6868.54,-6868.54
0.04,4875.85,-4875.85
0.041,147.18,-147.18
0.041,697.1,-697.1
0.041,6868.25,-6868.25
0.042,82.7,-82.7
0.042,358.9,-358.9
0.042,6868.32,-6868.32
0.043,6868.11,-6868.11
0.043,1213.88,-1213.88
0.043,98.58,-98.58
0.044,6868.92,-6868.92
0.044,324.56,-324.56
0.044,540.28,-540.28
0.045,6868.38,-6868.38
0.045,72.95,-72.95
0.045,6868.1,-6868.1
0.046,538.48,-538.48
0.046,6868.78,-6868.78
0.046,6868.23,-6868.23
0.047,6868.42,-6868.42
0.047,6868.68,-6868.68
0.047,311.26,-311.26
0.048,6868.89,-6868.89
0.048,3758.95,-3758.95
0.048,6868.81,-6868.81
0.049,111.53,-111.53
0.049,6869.4,-6869.4
0.049,413.54,-413.54
0.05,6814.12,-6814.12
0.05,582.93,-582.93
0.05,6869.28,-6869.28
0.051,6813.75,-6813.75
0.051,6869.24,-6869.24
0.051,6868.58,-6868.58
0.052,6813.25,-6813.25
0.052,6869.14,-6869.14
0.052,456.48,-456.48
0.053,6869.23,-6869.23
0.053,6869.36,-6869.36
0.053,6869.64,-6869.64
0.054,579.62,-579.62
0.054,6813.63,-6813.63
0.054,3815.32,-3815.32
0.055,4369.32,-4369.32
0.055,1693.41,-1693.41
0.055,6868.31,-6868.31
0.056,1558.64,-1558.64
0.056,1488.77,-1488.77
0.056,1910.65,-1910.65
0.057,1398.38,-1398.38
0.057,1547.99,-1547.99
0.057,1464.64,-1464.64
0.058,1633.04,-1633.04
0.058,6868.8,-6868.8
0.058,1300.64,-1300.64
0.059,1620.35,-1620.35
0.059,311.27,-311.27
0.059,6869.26,-6869.26
0.06,5547.48,-5547.48
0.06,6868.29,-6868.29
0.06,6867.7,-6867.7
0.061,6868.2,-6868.2
0.061,6868.37,-6868.37
0.061,6869.09,-6869.09
0.062,6868.51,-6868.51
0.062,6868.76,-6868.76
0.062,6868.83,-6868.83
0.063,6868.88,-6868.88
0.063,6869.07,-6869.07
0.063,220.62,-220.62
0.064,6869.19,-6869.19
0.064,6869.52,-6869.52
0.064,543.28,-543.28
0.065,6868.97,-6868.97
0.065,6868.51,-6868.51
0.065,6868.85,-6868.85
0.066,6868.68,-6868.68
0.066,6812.87,-6812.87
0.066,6868.63,-6868.63
0.067,6868.11,-6868.11
0.067,2141.33,-2141.33
0.067,6813.16,-6813.16
0.068,6868.52,-6868.52
0.068,6868.42,-6868.42
0.068,145.54,-145.54
0.069,6813.23,-6813.23
0.069,6868.42,-6868.42
0.069,6868.45,-6868.45
0.07,6813.03,-6813.03
0.07,6868.35,-6868.35
0.07,6868.56,-6868.56
0.071,6813.08,-6813.08
0.071,6868.49,-6868.49
0.071,6868.32,-6868.32
0.072,6812.49,-6812.49
0.072,6867.89,-6867.89
0.072,6868.06,-6868.06
0.073,6812.56,-6812.56
0.073,6867.79,-6867.79
0.073,6868.32,-6868.32
